Substrate,type
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
"InChI=1S/C10H11NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-6,11H,1-2H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3",indole
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
"InChI=1S/C11H10ClNO2/c1-2-15-11(14)10-6-7-5-8(12)3-4-9(7)13-10/h3-6,13H,2H2,1H3",indole
